dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,4,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0084451320581138,0.0062517609912902,1,29184.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,4,0.25,ucimlrepo,4601,57,2,0.3080756281149454,0.2584289567143142,0.0428129853209159,0.0531116621563955,0.0105139669030904,0.0073428340256214,2,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,4,0.5,ucimlrepo,4601,57,2,0.0058062151185751,0.0610649698681159,0.0182406713251651,0.0948831143083975,0.5372848669067025,0.3844350369181484,319,9309696.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,4,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0201134653012667,0.086750551982894,3.1046300129964948,2.761560765095055,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,4,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0201134653012667,0.086750551982894,3.145648346049711,2.7883704360574484,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,8,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0173793849535286,0.0088764640968292,1,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,8,0.25,ucimlrepo,4601,57,2,0.0993035469242404,0.0614922734357513,0.1161098398696154,0.0943723801845443,0.0302278120070695,0.0209723631851375,3,175104.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,8,0.5,ucimlrepo,4601,57,2,0.0155747425421252,0.0562364483686046,0.026282189451324,0.1040369732682674,2.978172305971384,2.5484492850955576,1047,61111296.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,8,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0213838252100546,0.0874099513195092,6.44850954785943,6.069242997094989,2300,134246400.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,8,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0213838252100546,0.0874099513195092,6.403729186000419,5.991002746999584,2300,134246400.0,binary,2300,2301,ok,,,94.0
